likes,dislikes,comment_count,
10699,54,984,0
2437,265,1024,0
6203,93,263,0
3004,64,460,0
5160,281,282,0
10784,124,916,0
669,37,82,0
4623,49,305,0
1466,39,388,0
2097,63,109,0
6077,82,551,0
6274,535,1080,0
420,513,367,0
2867,1470,345,0
642,257,246,0
6427,283,462,0
4159,180,588,0
387,194,88,0
4027,184,448,0
7180,80,1420,0
16754,65,1373,0
11190,65,614,0
3948,200,1692,0
1594,59,136,0
813,531,173,0
4731,81,289,0
6835,752,2246,0
1851,96,635,0
9434,102,1660,0
2924,775,560,0
1620,185,125,0
4551,309,784,0
5048,139,369,0
935,507,262,0
4587,376,603,0
2211,65,201,0
6562,253,925,0
6025,104,322,0
4629,62,543,0
11122,132,722,0
2048,75,212,0
763,93,286,0
7360,139,690,0
2871,1471,351,0
10076,89,623,0
4096,95,274,0
685,7,104,0
2761,38,440,0
9064,106,448,0
912,99,113,0
12229,86,1865,0
5435,297,1065,0
3028,821,2931,0
6913,76,556,0
1536,277,814,0
5721,167,582,0
2365,536,1152,0
3204,48,152,0
1564,87,229,0
5601,72,535,0
4757,91,511,0
5181,285,283,0
321,108,0,0
7762,264,570,0
5777,158,980,0
6219,134,333,0
6846,251,331,0
2972,7966,1632,0
7540,61,475,0
2609,72,166,0
8466,154,711,0
2150,276,408,0
863,485,548,0
3316,837,873,0
5684,292,1294,0
336,29,335,0
2873,1474,352,0
13273,170,746,0
1557,70,138,0
3028,50,219,0
3775,220,777,0
4173,95,310,0
10063,54,836,0
11257,119,1109,0
827,138,866,0
2703,184,288,0
9073,96,442,0
6065,242,486,0
4877,689,688,0
9490,103,1663,0
2164,279,408,0
649,257,249,0
9161,153,713,0
3869,56,111,0
8483,64,1262,0
3222,133,662,0
4865,234,1117,0
10661,486,3294,0
5131,163,516,0
6143,163,698,0
696,52,233,0
1094,43,414,0
5146,125,275,0
3608,97,346,0
14044,55,1884,0
819,533,172,0
7116,109,569,0
4667,63,551,0
1328,120,202,0
694,7,104,0
696,52,233,0
1665,215,505,0
5191,289,283,0
6514,269,321,0
20608,75,1191,0
338,6,18,0
2590,52,63,0
2744,333,1045,0
677,527,634,0
11839,150,1358,0
5574,107,1079,0
2170,280,409,0
1939,253,266,0
2488,893,608,0
4146,387,3677,0
5746,295,602,0
1300,116,122,0
1819,81,202,0
681,37,85,0
585,158,250,0
5310,490,1624,0
515,13,90,0
1127,155,836,0
1019,84,463,0
5203,290,283,0
3241,48,154,0
1725,257,156,0
3415,164,457,0
8957,100,665,0
619,209,168,0
652,257,249,0
4170,148,307,0
2328,34,50,0
13478,71,769,0
2795,38,443,0
2924,316,564,0
2670,171,391,0
17483,42,1867,0
6302,135,337,0
3483,106,780,0
14662,140,1439,0
6135,130,628,0
5369,336,1179,0
1935,68,288,0
4688,64,551,0
3001,251,585,0
8203,171,1062,0
4215,96,345,0
5215,274,847,0
2689,54,221,0
5927,110,858,0
4256,127,1708,0
0,0,0,0
12681,83,789,0
4341,171,273,0
5077,100,128,0
659,51,55,0
32755,98,2964,0
4645,203,728,0
5795,177,426,0
4440,569,1254,0
4913,237,1129,0
4363,91,443,0
2346,2200,2776,0
2258,71,147,0
5207,292,283,0
9577,103,1498,0
5214,108,516,0
6218,55,359,0
656,258,250,0
1394,541,1591,0
5051,206,441,0
10877,2521,5766,0
1678,216,507,0
777,94,293,0
1801,60,543,0
6801,53,323,0
2536,297,266,0
2409,548,1200,0
4135,130,321,0
11349,120,1144,0
6370,136,332,0
5573,277,563,0
2511,97,214,0
2335,82,182,0
11894,181,888,0
9076,259,5947,0
2814,39,444,0
1232,957,1756,0
1783,43,201,0
3008,350,1468,0
7988,64,992,0
9431,90,419,0
1812,30,110,0
14860,36,1681,0
5721,75,564,0
5795,298,595,0
1980,228,86,0
5336,64,283,0
4736,64,553,0
4119,227,542,0
6348,1123,520,0
832,533,172,0
19566,137,739,0
10185,272,1245,0
4935,238,1134,0
5684,53,737,0
3464,2442,973,0
7612,26,260,0
1591,41,123,0
8177,220,349,0
9023,571,758,0
2448,39,503,0
8242,117,316,0
5873,120,949,0
3853,62,434,0
8342,248,314,0
1689,216,508,0
1370,121,202,0
650,121,452,0
2821,39,445,0
7129,78,265,0
544,23,32,0
2636,143,378,0
4827,76,405,0
4082,1693,1099,0
921,84,554,0
8642,258,692,0
8522,158,457,0
97,6,6,0
7069,787,2277,0
10087,120,593,0
1715,72,256,0
5477,154,248,0
11425,120,1158,0
7378,86,1447,0
405,87,50,0
11602,240,490,0
6447,136,347,0
5888,161,908,0
150,23,79,0
1557,41,117,0
3487,606,621,0
5840,298,596,0
1357,103,241,0
1483,108,568,0
7293,376,583,0
2061,65,83,0
4965,238,1137,0
5216,110,300,0
18011,114,1271,0
6624,156,657,0
4083,476,480,0
5926,62,507,0
6648,177,393,0
0,0,0,0
4342,149,454,0
6941,621,2256,0
779,94,316,0
8215,103,508,0
3036,254,580,0
8218,31,387,0
16554,113,1784,0
10987,488,3301,0
876,496,552,0
4035,150,1488,0
2481,97,344,0
8395,172,1062,0
4285,186,621,0
3334,55,162,0
0,0,0,0
2445,558,1209,0
7856,320,795,0
4350,55,176,0
3480,165,462,0
3179,294,326,0
647,82,0,0
2997,324,581,0
230,155,386,0
11492,121,1164,0
0,0,0,0
5143,170,788,0
1098,36,117,0
5070,83,610,0
6937,246,789,0
5884,301,595,0
2660,53,65,0
766,867,461,0
1216,383,325,0
4995,238,1138,0
7281,777,571,0
6498,106,527,0
6173,86,571,0
4168,141,266,0
2544,908,546,0
1339,107,767,0
6508,136,348,0
4205,190,452,0
6260,202,528,0
21238,77,1245,0
10215,354,2048,0
5012,159,737,0
20352,107,1906,0
1405,717,470,0
11921,68,477,0
5394,154,562,0
9539,86,378,0
4453,189,280,0
4974,40,154,0
3720,105,348,0
6568,80,515,0
1516,169,781,0
4763,161,356,0
8791,1714,2138,0
781,94,308,0
7202,82,568,0
5920,302,602,0
6941,96,413,0
1842,64,393,0
2631,230,1301,0
5708,112,1261,0
6381,258,721,0
3251,47,441,0
5363,134,612,0
4366,227,743,0
5430,1601,1427,0
6111,209,331,0
358,123,84,0
1515,113,571,0
268,9,21,0
881,496,551,0
1667,48,241,0
6585,299,462,0
15157,36,1690,0
7979,80,310,0
1350,108,768,0
786,28,107,0
4080,202,1645,0
6563,137,348,0
1017,230,217,0
2466,566,1221,0
2404,46,164,0
10777,387,1297,0
3076,256,582,0
12088,186,890,0
10351,58,875,0
9652,90,473,0
1256,1006,1724,0
7506,88,1450,0
0,0,619,0
467,54,95,0
2051,56,471,0
1886,84,204,0
1843,29,287,0
8766,66,1277,0
16784,56,910,0
5954,304,602,0
555,149,202,0
6927,179,672,0
2004,234,85,0
16542,143,1482,0
8526,177,1063,0
9239,104,700,0
6461,29,201,0
5554,342,931,0
3097,256,583,0
1832,31,111,0
2827,67,193,0
